identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:4553:LOC;EUROTELEPORT;TRAM;DEPOT TRAMWAY;2022-03-10T19:56:59+01:00;2022-03-10T18:47:10+01:00;TRANSPOLE:ItemId::268443519:LOC;DEPOT TRAMWAY/EUROTELEPORT/2022-03-10T19:56:59.000+01:00
TRANSPOLE:StopPointRef:BP:4553:LOC;EUROTELEPORT;TRAM;DEPOT TRAMWAY;2022-03-10T20:16:29+01:00;2022-03-10T03:20:06+01:00;TRANSPOLE:ItemId::268436037:LOC;DEPOT TRAMWAY/EUROTELEPORT/2022-03-10T20:16:29.000+01:00
TRANSPOLE:StopPointRef:BP:2221:LOC;LILLE FLANDRES;TRAM;DEPOT TRAMWAY;2022-03-10T18:53:00+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268442096:LOC;DEPOT TRAMWAY/LILLE FLANDRES/2022-03-10T18:53:00.000+01:00
TRANSPOLE:StopPointRef:BP:2221:LOC;LILLE FLANDRES;TRAM;DEPOT TRAMWAY;2022-03-10T18:56:51+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268436531:LOC;DEPOT TRAMWAY/LILLE FLANDRES/2022-03-10T18:56:51.000+01:00
TRANSPOLE:StopPointRef:BP:3150:LOC;ACACIAS;TRAM;EUROTELEPORT;2022-03-10T18:56:03+01:00;2022-03-10T18:48:10+01:00;TRANSPOLE:ItemId::268439648:LOC;EUROTELEPORT/ACACIAS/2022-03-10T18:56:03.000+01:00
TRANSPOLE:StopPointRef:BP:3150:LOC;ACACIAS;TRAM;EUROTELEPORT;2022-03-10T19:05:32+01:00;2022-03-10T18:34:50+01:00;TRANSPOLE:ItemId::268444287:LOC;EUROTELEPORT/ACACIAS/2022-03-10T19:05:32.000+01:00
TRANSPOLE:StopPointRef:BP:3150:LOC;ACACIAS;TRAM;EUROTELEPORT;2022-03-10T19:15:17+01:00;2022-03-10T18:44:35+01:00;TRANSPOLE:ItemId::268437071:LOC;EUROTELEPORT/ACACIAS/2022-03-10T19:15:17.000+01:00
TRANSPOLE:StopPointRef:BP:1257:LOC;ALFRED MONGY;TRAM;EUROTELEPORT;2022-03-10T18:53:28+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268435988:LOC;EUROTELEPORT/ALFRED MONGY/2022-03-10T18:53:28.000+01:00
TRANSPOLE:StopPointRef:BP:1257:LOC;ALFRED MONGY;TRAM;EUROTELEPORT;2022-03-10T19:03:15+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268441121:LOC;EUROTELEPORT/ALFRED MONGY/2022-03-10T19:03:15.000+01:00
TRANSPOLE:StopPointRef:BP:1257:LOC;ALFRED MONGY;TRAM;EUROTELEPORT;2022-03-10T19:13:23+01:00;2022-03-10T18:48:05+01:00;TRANSPOLE:ItemId::268439660:LOC;EUROTELEPORT/ALFRED MONGY/2022-03-10T19:13:23.000+01:00
